method,agent,source_type,point_idx,x,y
rule_based,robot2,odom,22,-2.508050956632059,-2.6341159006318935
rule_based,robot2,odom,23,-2.4980377163674716,-2.6829750377321018
rule_based,robot2,odom,24,-2.4881996849984804,-2.7318988739301
rule_based,robot2,odom,25,-2.478231243430664,-2.780786005198867
rule_based,robot2,odom,26,-2.4683033187570955,-2.8296304705122637
rule_based,robot2,odom,27,-2.4583902139638494,-2.8786896932126007
rule_based,robot2,odom,28,-2.4484740625182386,-2.9270798855888276
rule_based,robot2,odom,29,-2.438821000656924,-2.9765857938005547
rule_based,robot2,odom,30,-2.429980647521683,-3.0250206618489694
rule_based,robot2,odom,31,-2.41197792999968,-3.1225950324382836
rule_based,robot2,odom,32,-2.4041786809103867,-3.1728997965365395
rule_based,robot2,odom,33,-2.3968540625382717,-3.2208152592649384
rule_based,robot2,odom,34,-2.3892546632506915,-3.271026084723243
rule_based,robot2,odom,35,-2.3822640437456846,-3.318903935476824
rule_based,robot2,odom,36,-2.3762453365014866,-3.3686769053514825
rule_based,robot2,odom,37,-2.3714906468326817,-3.4175776529191646
rule_based,robot2,odom,38,-2.368064279988783,-3.467235550176937
rule_based,robot2,odom,39,-2.365537121023912,-3.5170035935840147
rule_based,robot2,odom,40,-2.3637349271210746,-3.5668733309813736
rule_based,robot2,odom,41,-2.362784780387317,-3.61699166774176
rule_based,robot2,odom,42,-2.3634311335405456,-3.66680053327141
rule_based,robot2,odom,43,-2.3690192680962174,-3.7163287823008737
rule_based,robot2,odom,44,-2.3716761278476173,-3.76583671330495
rule_based,robot2,odom,45,-2.3767167054859932,-3.8110096779749227
rule_based,robot2,odom,46,-2.3754254702953435,-3.850585863328941
rule_based,robot2,odom,47,-2.3823666112161455,-3.8858909548022007
rule_based,robot2,odom,48,-2.38475507965208,-3.9145312870776494
rule_based,robot2,odom,49,-2.3909120358431077,-3.9227345320928677
rule_based,robot2,odom,50,-2.3908375287487362,-3.926907337245501
rule_based,robot2,odom,51,-2.390055243196913,-3.927220102134392
rule_based,robot2,odom,52,-2.3892806794434094,-3.9275403201598817
rule_based,robot2,odom,53,-2.388473473841553,-3.927858830181951
rule_based,robot2,odom,54,-2.3876687212989838,-3.9281861815863137
rule_based,robot2,odom,55,-2.38683329772923,-3.928511429514326
rule_based,robot2,odom,56,-2.3859959828999306,-3.9288462435044282
rule_based,robot2,odom,57,-2.3842583240598314,-3.929520970230011
rule_based,robot2,odom,58,-2.3833585790126275,-3.9298608740780203
rule_based,robot2,odom,59,-2.382456275245221,-3.9302098202881686
rule_based,robot2,odom,60,-2.381521424293282,-3.930557404652983
rule_based,robot2,odom,61,-2.3805839808107723,-3.930913202925612
rule_based,robot2,odom,62,-2.378396454373839,-3.931931927222658
rule_based,robot2,odom,63,-2.376659956165662,-3.9321890183486627
rule_based,robot2,odom,64,-2.3774585389672267,-3.9324385804832027
rule_based,robot2,odom,65,-2.3775468460839524,-3.932486027435134
rule_based,robot2,odom,66,-2.3775543202473974,-3.9325154446003827
rule_based,robot2,odom,67,-2.3775470117482613,-3.9325449361393643
rule_based,robot2,odom,68,-2.3775544978051766,-3.9325743312580803
rule_based,robot2,odom,69,-2.377547190323878,-3.932603675634511
rule_based,robot2,odom,70,-2.377554664849057,-3.9326330030106784
rule_based,robot2,odom,71,-2.3775473648127603,-3.9326622669524935
rule_based,robot2,odom,72,-2.3775548241772997,-3.932691451695086
rule_based,robot2,odom,73,-2.3775475222840203,-3.9327206998270094
rule_based,robot2,odom,74,-2.3775549808010856,-3.932749694722502
rule_based,robot2,odom,75,-2.3775476574205197,-3.9327789626207244
rule_based,robot2,odom,76,-2.377555114202187,-3.932807785189016
rule_based,robot2,odom,77,-2.3775477894990638,-3.9328370832841877
rule_based,robot2,odom,78,-2.377555213057574,-3.932865831815862
rule_based,robot2,odom,79,-2.377547928430193,-3.932895058561158
rule_based,robot2,odom,80,-2.3775553409773176,-3.932923826952311
rule_based,robot2,odom,81,-2.377548086411222,-3.932952889289501
rule_based,robot2,odom,82,-2.3775555169934353,-3.9329817107020912
rule_based,robot2,odom,83,-2.3775557286088724,-3.933039429008974
rule_based,robot2,odom,84,-2.3775483609396395,-3.933068226722355
rule_based,robot2,odom,85,-2.37755593290802,-3.9330969991897224
rule_based,robot2,odom,86,-2.377548479033164,-3.933125837904177
rule_based,robot2,odom,87,-2.3775561036378763,-3.9331544609476023
rule_based,robot2,odom,88,-2.377548620363394,-3.9331834113071347
rule_based,robot2,odom,89,-2.3775562386126543,-3.93321186567205
rule_based,robot2,odom,90,-2.3775488027279312,-3.933240904141843
rule_based,robot2,odom,91,-2.3775563643111925,-3.933269255831909
rule_based,robot2,odom,92,-2.377549005674129,-3.9332982780347066
rule_based,robot2,odom,93,-2.377556496341272,-3.933326632207016
rule_based,robot2,odom,94,-2.3775491975458523,-3.933355518170582
rule_based,robot2,odom,95,-2.3775566800298815,-3.9333839551788867
rule_based,robot2,odom,96,-2.3775493621689594,-3.933412651767701
rule_based,robot2,odom,97,-2.3775568913528264,-3.933441192023118
rule_based,robot2,odom,98,-2.377549504361919,-3.933469724367292
rule_based,robot2,odom,99,-2.377557118029733,-3.933498323216243
rule_based,robot2,odom,100,-2.377549646022048,-3.933526766893779
rule_based,robot2,odom,101,-2.377557345119791,-3.9335553354824393
rule_based,robot2,odom,102,-2.3775498113521096,-3.9335837729064007
rule_based,robot2,odom,103,-2.3775575567524867,-3.9336122184195452
rule_based,robot2,odom,104,-2.3775499974029723,-3.9336406808351065
rule_based,robot2,odom,105,-2.3775501630048796,-3.9336974370702964
rule_based,robot2,odom,106,-2.377557880924295,-3.9337255532250923
rule_based,robot2,odom,107,-2.3775503069722226,-3.9337540180837447
rule_based,robot2,odom,108,-2.3775579857389144,-3.9337820314767975
rule_based,robot2,odom,109,-2.377550426896532,-3.933810410333258
rule_based,robot2,odom,110,-2.3775580714584805,-3.9338383934111594
rule_based,robot2,odom,111,-2.3775505197384628,-3.9338666170317205
rule_based,robot2,odom,112,-2.3775581509798323,-3.933894623320025
rule_based,robot2,odom,113,-2.377550580515025,-3.9339226533937706
